Saved path: music_store, pharmacy, jewelry_store, gym, toy_store, salon, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, gelateria, bank : 67304
Saved path: toy_store, gym, hardware_store, jewelry_store, party_store, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, noodle_house, salon : 69783
Saved path: pharmacy, bank, florist, pet_store, dentist, cafe, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store : 64263
Saved path: jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, gym, hardware_store, burger_joint, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop : 68127
Saved path: party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, florist, music_store, bank, pet_store, gym, bakery : 68243
Saved path: dentist, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, florist, music_store, bakery, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store : 52615
Saved path: clothing_store, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, barber_shop, jewelry_store, bike_shop, hardware_store, burger_joint, bookstore, cafe : 70378
Saved path: jewelry_store, bike_shop, bakery, barber_shop, salon, toy_store, clothing_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, pet_store, florist : 60740
Saved path: pet_store, gelateria, music_store, pharmacy, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, gym, craft_shop : 51674
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, bank : 57358
Saved path: cafe, dentist, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, gym, hardware_store, burger_joint : 63013
Saved path: tech_shop, grocery_store, clothing_store, salon, jewelry_store, party_store, hardware_store, gym, florist, gelateria, pet_store, craft_shop, dentist, bookstore, cafe : 59557
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, pet_store, gelateria, bike_shop : 62036
Saved path: party_store, bike_shop, bakery, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, dentist, pizzeria, craft_shop, gelateria, music_store, pharmacy : 52735
Saved path: bakery, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, florist, gelateria, music_store : 61186
Saved path: toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, craft_shop, florist, music_store, pharmacy, bakery, bike_shop, party_store, hardware_store, salon : 48137
Saved path: burger_joint, cafe, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, gym, hardware_store : 56182
Saved path: jewelry_store, party_store, hardware_store, toy_store, noodle_house, bookstore, cafe, burger_joint, gym, pet_store, florist, music_store, bank, gelateria, bike_shop : 62173
Saved path: pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store, bike_shop, jewelry_store, barber_shop, pharmacy, bank, gelateria, florist : 69162
Saved path: pizzeria, dentist, grocery_store, salon, barber_shop, jewelry_store, bike_shop, bakery, hardware_store, gym, music_store, bank, gelateria, florist, craft_shop : 68365
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe : 48039
Saved path: bookstore, burger_joint, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, cafe : 58231
Saved path: florist, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store : 67032
Saved path: party_store, jewelry_store, bike_shop, bakery, gelateria, bank, pet_store, craft_shop, gym, noodle_house, clothing_store, tech_shop, cafe, burger_joint, hardware_store : 59513
Saved path: barber_shop, bakery, bike_shop, hardware_store, burger_joint, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, florist, gelateria, bank, music_store : 57399
Saved path: bike_shop, bakery, barber_shop, noodle_house, toy_store, burger_joint, bookstore, cafe, pizzeria, craft_shop, pet_store, florist, bank, music_store, jewelry_store : 68501
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, bakery, bike_shop, barber_shop, salon : 60469
