Saved path: barber_shop, salon, clothing_store, pizzeria, dentist, cafe, bookstore, hardware_store, gym, pet_store, gelateria, music_store, pharmacy, jewelry_store, bike_shop : 66475
Saved path: music_store, pharmacy, party_store, barber_shop, salon, noodle_house, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist : 56225
Saved path: burger_joint, bookstore, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store : 56275
Saved path: gym, bakery, party_store, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop, dentist, cafe, bookstore, grocery_store, noodle_house, toy_store : 62849
Saved path: pet_store, bank, florist, bookstore, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, cafe, dentist, craft_shop : 71313
Saved path: bakery, jewelry_store, hardware_store, gym, pet_store, bank, music_store, florist, craft_shop, pizzeria, grocery_store, noodle_house, salon, toy_store, burger_joint : 68317
Saved path: salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, music_store, jewelry_store, barber_shop : 63421
Saved path: bakery, bike_shop, gelateria, bank, florist, pet_store, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store : 59519
Saved path: pizzeria, craft_shop, pet_store, gym, hardware_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, dentist : 56990
Saved path: music_store, gelateria, pet_store, gym, hardware_store, party_store, jewelry_store, salon, noodle_house, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, florist : 63598
Saved path: party_store, bakery, pharmacy, music_store, florist, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, barber_shop, bike_shop : 56451
Saved path: party_store, pharmacy, gelateria, florist, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bakery : 51354
Saved path: barber_shop, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, hardware_store, cafe, tech_shop, grocery_store, noodle_house, toy_store : 62436
Saved path: gym, pet_store, florist, gelateria, pharmacy, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, dentist, bookstore, burger_joint : 55970
Saved path: music_store, pharmacy, party_store, jewelry_store, gym, hardware_store, salon, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, gelateria : 62801
Saved path: bank, music_store, craft_shop, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, barber_shop, bakery, jewelry_store, bike_shop, hardware_store : 67762
Saved path: tech_shop, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, pharmacy, gelateria, pet_store, gym, burger_joint, bookstore, dentist, pizzeria : 62926
Saved path: tech_shop, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, music_store, florist, pet_store, gym, hardware_store, bookstore, cafe : 55734
Saved path: florist, gelateria, pharmacy, bakery, jewelry_store, hardware_store, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore, dentist, pizzeria, pet_store : 59660
Saved path: burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, bakery, bike_shop, jewelry_store, barber_shop, grocery_store, tech_shop : 69370
Saved path: grocery_store, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria, music_store, party_store, bike_shop, barber_shop, toy_store : 63441
Saved path: toy_store, clothing_store, tech_shop, bookstore, dentist, pizzeria, pet_store, florist, gelateria, bank, music_store, bakery, jewelry_store, hardware_store, salon : 68982
Saved path: clothing_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym, pet_store, bank, music_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 73150
Saved path: noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, pizzeria, bookstore, burger_joint, hardware_store, toy_store, grocery_store, clothing_store : 71676
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, pharmacy, gelateria, bank, florist, pet_store, craft_shop, gym, hardware_store : 61378
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, dentist, pet_store, bank, gelateria : 64054
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, pet_store, bank, gelateria, pharmacy, hardware_store : 56482
Saved path: pizzeria, dentist, tech_shop, grocery_store, burger_joint, hardware_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, gelateria, pet_store, craft_shop : 62142
Saved path: gym, craft_shop, florist, bank, bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, hardware_store : 64546
Saved path: dentist, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, party_store, hardware_store, gym, pet_store, gelateria, florist, craft_shop : 56764
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bank, music_store, florist, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop : 56615
Saved path: pet_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, gym, burger_joint, bookstore, cafe, clothing_store, grocery_store, dentist, craft_shop : 61482
Saved path: bank, music_store, florist, craft_shop, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, toy_store, salon, jewelry_store, pharmacy, gelateria : 63189
Saved path: bakery, bike_shop, party_store, hardware_store, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, gelateria, pharmacy : 49453
Saved path: craft_shop, gym, hardware_store, dentist, tech_shop, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store : 70777
Saved path: party_store, jewelry_store, bike_shop, gelateria, florist, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, gym : 59260
Saved path: toy_store, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house : 65424
Saved path: jewelry_store, party_store, bike_shop, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist, grocery_store, bookstore, burger_joint, toy_store, salon : 68182
Saved path: craft_shop, pizzeria, tech_shop, cafe, bookstore, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store : 67108
Saved path: burger_joint, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, music_store, pharmacy, bakery, jewelry_store, hardware_store, gym : 54039
Saved path: party_store, jewelry_store, bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, grocery_store, clothing_store, toy_store, bookstore, burger_joint, gym, hardware_store : 58136
Saved path: burger_joint, bookstore, grocery_store, salon, bike_shop, bakery, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe : 60940
Saved path: tech_shop, clothing_store, toy_store, gym, florist, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, burger_joint, cafe, dentist : 61114
Saved path: bookstore, tech_shop, pizzeria, craft_shop, music_store, bank, bakery, party_store, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint : 65468
Saved path: grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store : 70466
Saved path: music_store, gelateria, pet_store, gym, hardware_store, burger_joint, cafe, dentist, tech_shop, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store : 63465
Saved path: bookstore, burger_joint, dentist, pizzeria, craft_shop, florist, music_store, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, tech_shop : 57110
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, music_store, bank, gelateria, pet_store, craft_shop, dentist, cafe, tech_shop : 63052
Saved path: gym, bike_shop, jewelry_store, party_store, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, burger_joint : 55849
Saved path: bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, gelateria, florist, pet_store, gym : 61848
Saved path: pharmacy, music_store, bank, pet_store, craft_shop, dentist, burger_joint, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, party_store, bakery : 59375
Saved path: clothing_store, grocery_store, tech_shop, cafe, burger_joint, dentist, pet_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, noodle_house : 64578
Saved path: noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, florist, pharmacy, bakery, party_store, bike_shop, hardware_store, barber_shop, salon : 52758
Saved path: bakery, gelateria, florist, gym, burger_joint, cafe, dentist, pizzeria, grocery_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, party_store : 59023
Saved path: pharmacy, bakery, bike_shop, gym, toy_store, salon, noodle_house, grocery_store, bookstore, dentist, craft_shop, florist, music_store, bank, gelateria : 56344
Saved path: music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, cafe, burger_joint, bakery, bike_shop, party_store, hardware_store, gym, florist : 60610
Saved path: gym, craft_shop, florist, gelateria, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, bookstore, cafe, hardware_store : 59777
Saved path: salon, barber_shop, jewelry_store, pharmacy, bank, pet_store, gym, hardware_store, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, clothing_store, toy_store : 70564
Saved path: bakery, bike_shop, barber_shop, salon, toy_store, hardware_store, gym, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, pharmacy : 54560
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, pet_store, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, salon : 68201
Saved path: barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, florist, gym, hardware_store, party_store, jewelry_store, bike_shop : 56851
