Saved path: music_store, gelateria, pet_store, craft_shop, dentist, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, party_store, jewelry_store, bike_shop, bakery, pharmacy : 55310
Saved path: burger_joint, gym, florist, music_store, bank, pharmacy, party_store, jewelry_store, hardware_store, salon, noodle_house, grocery_store, pizzeria, dentist, cafe : 67237
Saved path: grocery_store, tech_shop, bookstore, gym, pet_store, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, salon, toy_store, noodle_house : 64989
Saved path: bank, music_store, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy : 60688
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist, gym, hardware_store, burger_joint : 55787
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, florist, gym, hardware_store, burger_joint, cafe, bookstore, toy_store, noodle_house, barber_shop, bike_shop : 63437
Saved path: hardware_store, gym, bookstore, cafe, tech_shop, dentist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 69611
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, florist : 53596
Saved path: grocery_store, clothing_store, salon, toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy, bank, florist, pet_store, pizzeria, dentist, bookstore : 72016
Saved path: bakery, bike_shop, party_store, hardware_store, bookstore, florist, music_store, gelateria, pet_store, dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop : 61539
Saved path: pizzeria, dentist, bookstore, burger_joint, noodle_house, barber_shop, bakery, party_store, bike_shop, music_store, bank, gelateria, pet_store, gym, craft_shop : 67966
Saved path: bank, music_store, florist, dentist, bookstore, burger_joint, noodle_house, salon, barber_shop, bakery, bike_shop, party_store, hardware_store, gym, pet_store : 67066
Saved path: hardware_store, bookstore, florist, music_store, bank, pet_store, craft_shop, pizzeria, dentist, grocery_store, toy_store, salon, barber_shop, bakery, jewelry_store : 71472
Saved path: pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, tech_shop, cafe, dentist, craft_shop, pet_store, florist, gelateria, bank : 67024
Saved path: barber_shop, salon, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, gym, florist, bank, music_store, jewelry_store, party_store, bakery : 68881
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, burger_joint, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria : 59618
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, florist, gelateria, jewelry_store, bike_shop, hardware_store, burger_joint : 53367
Saved path: bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, pet_store, hardware_store, party_store : 51823
Saved path: burger_joint, bookstore, dentist, pizzeria, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, gelateria, pet_store, gym, hardware_store : 61739
Saved path: pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, gym, bakery, jewelry_store : 63187
Saved path: barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, tech_shop, pizzeria, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store : 58963
Saved path: clothing_store, salon, barber_shop, bakery, gelateria, florist, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store : 47999
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, bookstore, cafe : 69284
Saved path: burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, bakery, pharmacy, bank, florist, pet_store, craft_shop, pizzeria : 62367
Saved path: clothing_store, toy_store, salon, hardware_store, party_store, bakery, gelateria, bank, music_store, florist, pizzeria, dentist, bookstore, tech_shop, grocery_store : 61782
Saved path: party_store, bakery, gelateria, bank, pet_store, pizzeria, gym, hardware_store, burger_joint, toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store : 71762
Saved path: florist, pet_store, gym, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, party_store, bakery, pharmacy, music_store : 57669
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, pizzeria, pet_store, gelateria, pharmacy : 62288
Saved path: salon, clothing_store, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bakery, barber_shop : 54780
Saved path: bank, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, hardware_store, gym, craft_shop, florist, gelateria : 54605
Saved path: bike_shop, jewelry_store, party_store, bakery, music_store, bank, gelateria, craft_shop, dentist, cafe, tech_shop, grocery_store, salon, hardware_store, gym : 65708
Saved path: burger_joint, hardware_store, toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, pet_store, pizzeria, clothing_store, grocery_store, cafe, bookstore : 63297
Saved path: pizzeria, craft_shop, pet_store, florist, gelateria, bike_shop, party_store, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, cafe, tech_shop : 53594
Saved path: barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, grocery_store, tech_shop, dentist, craft_shop, music_store, gelateria, pharmacy, bakery, bike_shop : 50407
Saved path: hardware_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, dentist, tech_shop, cafe, burger_joint, gym : 63535
Saved path: florist, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, pharmacy, bank : 64954
Saved path: gelateria, craft_shop, gym, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store, toy_store, barber_shop, pharmacy, music_store, bank : 56391
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, florist, bank, music_store, bakery, party_store : 61071
Saved path: cafe, hardware_store, gym, craft_shop, florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, dentist : 59498
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, party_store, pharmacy, gelateria, bank, music_store : 59270
Saved path: bakery, bike_shop, jewelry_store, barber_shop, noodle_house, grocery_store, bookstore, burger_joint, cafe, pizzeria, pet_store, florist, bank, gelateria, pharmacy : 68287
Saved path: pet_store, florist, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop : 47733
Saved path: burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, florist, gelateria, bank, music_store, pharmacy, bakery, hardware_store, salon, noodle_house : 53178
Saved path: craft_shop, pet_store, bank, gelateria, party_store, bike_shop, barber_shop, salon, hardware_store, gym, burger_joint, cafe, grocery_store, dentist, pizzeria : 67811
Saved path: pet_store, florist, gelateria, music_store, pharmacy, party_store, barber_shop, toy_store, clothing_store, tech_shop, cafe, burger_joint, dentist, pizzeria, craft_shop : 57888
Saved path: craft_shop, florist, gelateria, pet_store, gym, hardware_store, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, burger_joint, pizzeria : 60013
Saved path: florist, music_store, bank, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, toy_store, bookstore, burger_joint, hardware_store, party_store, bike_shop, gym : 64333
Saved path: tech_shop, dentist, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, burger_joint, cafe, grocery_store : 65036
Saved path: bookstore, burger_joint, cafe, dentist, pizzeria, pet_store, music_store, bike_shop, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop : 59749
Saved path: bakery, bike_shop, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, gym, pet_store, florist, music_store, pharmacy : 48073
Saved path: bank, gelateria, florist, pet_store, craft_shop, gym, hardware_store, burger_joint, cafe, tech_shop, clothing_store, noodle_house, barber_shop, bakery, pharmacy : 52584
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, grocery_store, cafe, burger_joint, dentist, craft_shop, florist, gelateria, bank, music_store, bakery : 63761
Saved path: tech_shop, grocery_store, clothing_store, bookstore, burger_joint, salon, barber_shop, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria : 56762
Saved path: hardware_store, party_store, bakery, barber_shop, salon, noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, bank, gym : 66006
Saved path: cafe, tech_shop, grocery_store, clothing_store, gym, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store : 58550
Saved path: bike_shop, bakery, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, bookstore, burger_joint, hardware_store, gym, toy_store, barber_shop, jewelry_store : 70018
Saved path: jewelry_store, party_store, pharmacy, music_store, gelateria, florist, pet_store, pizzeria, dentist, clothing_store, grocery_store, cafe, bookstore, gym, bike_shop : 59766
Saved path: burger_joint, gym, craft_shop, pet_store, bank, gelateria, jewelry_store, party_store, barber_shop, salon, noodle_house, grocery_store, dentist, cafe, bookstore : 67212
