Saved path: pet_store, music_store, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop : 52401
Saved path: tech_shop, grocery_store, cafe, burger_joint, hardware_store, toy_store, barber_shop, bakery, party_store, bike_shop, music_store, gelateria, pet_store, craft_shop, pizzeria : 58349
Saved path: jewelry_store, party_store, pharmacy, florist, pet_store, gym, burger_joint, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, bike_shop : 60171
Saved path: bakery, hardware_store, burger_joint, bookstore, florist, music_store, bank, pet_store, dentist, cafe, grocery_store, noodle_house, salon, barber_shop, jewelry_store : 68473
Saved path: craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, jewelry_store, hardware_store, salon, toy_store, clothing_store, grocery_store, cafe, gym : 61701
Saved path: cafe, bookstore, hardware_store, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist : 59331
Saved path: grocery_store, clothing_store, noodle_house, gym, bike_shop, jewelry_store, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, cafe : 58578
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store, bike_shop, gelateria, pet_store : 58027
Saved path: craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, clothing_store, noodle_house, salon, barber_shop, pharmacy, bank, gelateria : 57959
Saved path: burger_joint, bookstore, noodle_house, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, jewelry_store, party_store, bakery : 61082
Saved path: jewelry_store, party_store, pharmacy, gelateria, florist, craft_shop, gym, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop : 52476
Saved path: dentist, pizzeria, craft_shop, gym, florist, gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, cafe : 58729
Saved path: clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store : 59550
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, pizzeria, gym, florist, gelateria, bank, music_store : 67826
Saved path: gym, craft_shop, pet_store, florist, music_store, pharmacy, party_store, bike_shop, toy_store, salon, noodle_house, clothing_store, cafe, bookstore, burger_joint : 52797
Saved path: gym, florist, music_store, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, pizzeria : 67592
Saved path: burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bike_shop, hardware_store, salon, noodle_house, toy_store : 50645
Saved path: music_store, florist, pet_store, craft_shop, gym, bookstore, cafe, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, gelateria, bank : 62477
Saved path: pharmacy, gelateria, florist, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store : 57727
Saved path: clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store, jewelry_store, party_store, bike_shop, barber_shop, toy_store, burger_joint, bookstore, cafe : 62066
Saved path: grocery_store, dentist, cafe, hardware_store, gym, craft_shop, pet_store, florist, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store : 69269
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bike_shop, bakery, hardware_store, florist, bank, pet_store, craft_shop, dentist, burger_joint, cafe, tech_shop : 61151
Saved path: craft_shop, gym, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist : 52091
Saved path: bookstore, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, florist, dentist : 53370
Saved path: toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, pet_store, florist, gelateria, bank, pharmacy, bakery, bike_shop, jewelry_store : 63670
Saved path: craft_shop, pet_store, bank, music_store, pharmacy, party_store, bakery, gym, toy_store, salon, noodle_house, burger_joint, cafe, tech_shop, pizzeria : 63142
Saved path: tech_shop, grocery_store, cafe, burger_joint, toy_store, salon, bakery, bike_shop, gym, florist, music_store, bank, pet_store, craft_shop, dentist : 60481
Saved path: tech_shop, cafe, bookstore, toy_store, gym, bakery, party_store, jewelry_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, dentist : 64598
Saved path: music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, jewelry_store, pharmacy : 69179
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bakery, music_store, bank, pet_store, gym, burger_joint : 68751
Saved path: jewelry_store, party_store, gym, pet_store, florist, pizzeria, dentist, grocery_store, tech_shop, cafe, bookstore, burger_joint, toy_store, barber_shop, bike_shop : 62801
Saved path: gym, craft_shop, music_store, bank, bakery, bike_shop, jewelry_store, barber_shop, noodle_house, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint : 66320
Saved path: pizzeria, cafe, burger_joint, gym, hardware_store, toy_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, music_store, bank, florist, pet_store : 69624
Saved path: pizzeria, craft_shop, florist, bank, pharmacy, bakery, jewelry_store, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, tech_shop : 63160
Saved path: grocery_store, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house : 60207
Saved path: craft_shop, gym, bookstore, dentist, pizzeria, tech_shop, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, gelateria, music_store, florist : 64012
Saved path: pizzeria, dentist, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, pet_store : 61804
Saved path: bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, hardware_store, gym, florist, music_store, pharmacy, bakery, party_store, jewelry_store : 59736
