Saved path: salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, dentist, cafe, burger_joint, hardware_store, gym, toy_store : 67492
Saved path: bike_shop, barber_shop, toy_store, gym, hardware_store, burger_joint, tech_shop, dentist, pizzeria, craft_shop, gelateria, pharmacy, bakery, party_store, jewelry_store : 61488
Saved path: tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, gelateria, pharmacy, bakery, party_store, bike_shop, hardware_store, salon, clothing_store : 58735
Saved path: clothing_store, grocery_store, cafe, pizzeria, craft_shop, gym, florist, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, toy_store, noodle_house : 63387
Saved path: noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, hardware_store, gym, burger_joint : 51956
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, dentist, florist, gelateria, bank, music_store, barber_shop : 65595
Saved path: dentist, grocery_store, bookstore, hardware_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop : 67741
Saved path: florist, pet_store, pizzeria, gym, burger_joint, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank : 72834
Saved path: gelateria, pharmacy, party_store, bike_shop, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, burger_joint, gym, craft_shop, florist, music_store : 58206
Saved path: florist, gelateria, music_store, jewelry_store, party_store, bakery, barber_shop, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, cafe, dentist, pizzeria : 58680
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bakery, gym, toy_store : 54743
Saved path: tech_shop, pizzeria, dentist, bookstore, gym, craft_shop, pet_store, gelateria, bank, music_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 59841
Saved path: pizzeria, dentist, tech_shop, cafe, bookstore, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, craft_shop : 60651
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, bookstore, grocery_store : 68392
Saved path: music_store, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, hardware_store, gym, pet_store, gelateria, bank : 61577
Saved path: clothing_store, grocery_store, burger_joint, bookstore, craft_shop, pet_store, florist, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store : 64110
Saved path: hardware_store, burger_joint, bookstore, cafe, clothing_store, tech_shop, dentist, pet_store, bank, music_store, pharmacy, party_store, bakery, barber_shop, toy_store : 64840
Saved path: gelateria, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, pet_store, bank : 64152
Saved path: bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, florist, gelateria, pharmacy : 54982
Saved path: bakery, pharmacy, gelateria, music_store, florist, pet_store, gym, hardware_store, dentist, tech_shop, clothing_store, salon, barber_shop, bike_shop, party_store : 60970
Saved path: craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, florist : 57191
Saved path: bank, music_store, florist, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, jewelry_store, party_store, bakery : 61354
Saved path: bakery, pharmacy, music_store, bank, gelateria, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, barber_shop : 55170
Saved path: jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, florist, gelateria : 56207
Saved path: bakery, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, salon, barber_shop, party_store : 57972
Saved path: cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store, bike_shop, party_store, bakery, barber_shop, salon, toy_store, gym : 64298
Saved path: party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, burger_joint, gym, craft_shop, music_store, bank, pharmacy, bakery : 65623
Saved path: bike_shop, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, bookstore, burger_joint, noodle_house, salon, hardware_store, jewelry_store : 61781
Saved path: salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, gelateria, florist, pet_store, dentist, tech_shop, grocery_store, clothing_store, burger_joint, hardware_store : 62646
Saved path: tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, pharmacy, party_store, barber_shop, salon, grocery_store : 57063
Saved path: pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, florist, pharmacy, jewelry_store, barber_shop, salon, grocery_store, tech_shop : 61729
Saved path: jewelry_store, party_store, hardware_store, gym, toy_store, burger_joint, cafe, dentist, craft_shop, music_store, bank, gelateria, pharmacy, bakery, bike_shop : 59456
Saved path: bookstore, gym, craft_shop, florist, bank, pharmacy, party_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe : 64755
Saved path: clothing_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, florist, bank, music_store, bakery, party_store, hardware_store, toy_store, salon, noodle_house : 63805
Saved path: craft_shop, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, music_store, bank, gelateria : 54625
Saved path: cafe, tech_shop, pizzeria, craft_shop, florist, bank, gelateria, party_store, jewelry_store, barber_shop, salon, noodle_house, toy_store, burger_joint, bookstore : 65359
Saved path: music_store, florist, pet_store, craft_shop, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, clothing_store, salon, barber_shop, bakery, bike_shop, jewelry_store : 58383
Saved path: bookstore, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, music_store, bank, pet_store, craft_shop, pizzeria, dentist : 66570
Saved path: hardware_store, gym, craft_shop, pet_store, bank, music_store, bike_shop, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, bookstore : 55837
Saved path: barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, craft_shop, gelateria, bank, music_store, party_store, jewelry_store : 61688
Saved path: bike_shop, party_store, bakery, pharmacy, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, salon : 55943
Saved path: craft_shop, pet_store, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, dentist, cafe, bookstore, gym : 69208
Saved path: pet_store, florist, music_store, bank, bakery, party_store, barber_shop, salon, toy_store, clothing_store, grocery_store, cafe, hardware_store, gym, craft_shop : 61216
Saved path: toy_store, clothing_store, noodle_house, barber_shop, bike_shop, bakery, gelateria, bank, florist, pet_store, craft_shop, pizzeria, cafe, bookstore, burger_joint : 60627
Saved path: hardware_store, party_store, bike_shop, pharmacy, music_store, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon : 51727
Saved path: florist, bank, gelateria, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, dentist, bookstore, hardware_store, gym, craft_shop : 68256
Saved path: tech_shop, grocery_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, bank, music_store, craft_shop, bookstore, burger_joint, cafe : 62059
Saved path: cafe, bookstore, burger_joint, hardware_store, gym, toy_store, noodle_house, barber_shop, bank, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store : 57402
Saved path: party_store, jewelry_store, bike_shop, pharmacy, florist, craft_shop, gym, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store : 52291
Saved path: bike_shop, jewelry_store, party_store, bakery, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, gelateria, music_store : 55173
Saved path: tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, dentist, bookstore, cafe : 66785
Saved path: barber_shop, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, florist, gym, hardware_store, jewelry_store, bakery : 59566
Saved path: noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, barber_shop : 67117
Saved path: bakery, music_store, florist, pet_store, dentist, bookstore, burger_joint, noodle_house, salon, toy_store, gym, hardware_store, bike_shop, jewelry_store, party_store : 62558
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, gym, bike_shop, party_store, bakery, pharmacy, salon, noodle_house : 47361
Saved path: cafe, tech_shop, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, craft_shop, pizzeria, dentist : 65166
Saved path: cafe, bookstore, clothing_store, noodle_house, toy_store, hardware_store, party_store, bakery, bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist : 60572
Saved path: noodle_house, barber_shop, bakery, gym, pet_store, bank, music_store, florist, pizzeria, dentist, bookstore, cafe, tech_shop, grocery_store, clothing_store : 59605
Saved path: bakery, party_store, bike_shop, barber_shop, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, gym, pet_store, bank, pharmacy : 64600
Saved path: pharmacy, gelateria, bank, pizzeria, dentist, cafe, bookstore, tech_shop, noodle_house, salon, toy_store, hardware_store, jewelry_store, bike_shop, bakery : 67058
Saved path: gelateria, florist, gym, hardware_store, bike_shop, barber_shop, noodle_house, toy_store, burger_joint, cafe, tech_shop, dentist, craft_shop, pet_store, bank : 61094
Saved path: bank, gelateria, florist, pet_store, craft_shop, gym, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, bike_shop, bakery, pharmacy : 53299
Saved path: toy_store, noodle_house, clothing_store, bookstore, cafe, tech_shop, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop, gym : 65573
Saved path: music_store, gelateria, pet_store, craft_shop, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy : 57355
Saved path: gelateria, pharmacy, party_store, hardware_store, toy_store, clothing_store, tech_shop, bookstore, cafe, dentist, craft_shop, pet_store, florist, music_store, bank : 58486
Saved path: barber_shop, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store : 58600
