Saved path: bookstore, burger_joint, gym, bakery, party_store, bike_shop, barber_shop, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store, cafe : 59882
Saved path: dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe : 56138
Saved path: toy_store, gym, jewelry_store, party_store, bakery, pharmacy, bank, pet_store, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, salon : 68641
Saved path: craft_shop, pizzeria, dentist, cafe, burger_joint, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria : 65748
Saved path: craft_shop, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, gelateria, bank, music_store, florist, pet_store : 61624
Saved path: pizzeria, dentist, bookstore, grocery_store, clothing_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store : 66179
Saved path: cafe, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, jewelry_store, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore : 66703
Saved path: dentist, pizzeria, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore : 67812
Saved path: bookstore, tech_shop, pizzeria, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, toy_store, noodle_house : 68608
Saved path: hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria, florist, pet_store, craft_shop, gym, bookstore, grocery_store, clothing_store, burger_joint : 51775
Saved path: dentist, pizzeria, pet_store, florist, gelateria, bike_shop, bakery, gym, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 49954
Saved path: barber_shop, salon, grocery_store, bookstore, gym, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop : 66527
Saved path: noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, pet_store, florist, music_store, pharmacy, bakery, party_store, bike_shop, hardware_store, toy_store : 50525
Saved path: bookstore, tech_shop, dentist, pizzeria, florist, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store : 65404
Saved path: party_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, salon, barber_shop : 64566
Saved path: music_store, florist, craft_shop, burger_joint, cafe, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, bank : 60170
Saved path: pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, florist, pet_store, gym : 71878
Saved path: party_store, bakery, music_store, gelateria, florist, craft_shop, bookstore, cafe, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store : 54997
Saved path: music_store, florist, craft_shop, dentist, tech_shop, grocery_store, bookstore, burger_joint, hardware_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank : 62212
Saved path: grocery_store, cafe, tech_shop, pizzeria, craft_shop, gym, pet_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house : 58909
Saved path: pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, gym, party_store, jewelry_store, pharmacy, gelateria, florist, pet_store, craft_shop : 57121
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, pharmacy, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist : 46958
Saved path: craft_shop, pet_store, music_store, bakery, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym : 55242
Saved path: pizzeria, dentist, burger_joint, grocery_store, salon, barber_shop, jewelry_store, bakery, gym, pet_store, gelateria, bank, music_store, florist, craft_shop : 70654
Saved path: tech_shop, clothing_store, noodle_house, cafe, bookstore, gym, bike_shop, jewelry_store, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria : 66511
Saved path: jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, florist, gelateria, music_store, pharmacy, hardware_store, party_store : 58735
Saved path: florist, music_store, gelateria, jewelry_store, party_store, bakery, hardware_store, toy_store, noodle_house, tech_shop, cafe, burger_joint, bookstore, craft_shop, pet_store : 53194
Saved path: gym, bookstore, dentist, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop, bakery, party_store, pharmacy, gelateria, bank, florist, craft_shop : 63915
Saved path: pizzeria, dentist, bookstore, burger_joint, tech_shop, clothing_store, noodle_house, salon, toy_store, bakery, party_store, music_store, florist, pet_store, craft_shop : 57796
Saved path: party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, gelateria, bank : 58527
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, gym, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank : 62841
Saved path: bank, florist, craft_shop, gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, party_store, bakery : 63969
Saved path: gelateria, music_store, bakery, bike_shop, gym, toy_store, noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist : 51470
Saved path: pizzeria, tech_shop, noodle_house, salon, bike_shop, bakery, pharmacy, gelateria, bank, music_store, craft_shop, gym, burger_joint, cafe, dentist : 58974
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, gym, pet_store, music_store, pharmacy : 57800
Saved path: toy_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, tech_shop, clothing_store, cafe, burger_joint, hardware_store : 66639
Saved path: cafe, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, bike_shop, party_store, bakery, pharmacy, bank, florist, pet_store, pizzeria : 67377
Saved path: florist, gelateria, bank, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, dentist, burger_joint, gym : 65087
Saved path: gelateria, bank, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, grocery_store, dentist, pizzeria, pet_store : 71040
Saved path: bank, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy : 64338
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, florist, music_store, pharmacy, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, gym : 59012
Saved path: bookstore, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, salon, noodle_house, clothing_store : 67295
Saved path: clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, gelateria, pet_store, gym, hardware_store, pizzeria, tech_shop, grocery_store : 61178
Saved path: salon, toy_store, noodle_house, clothing_store, cafe, bookstore, hardware_store, gym, craft_shop, florist, music_store, gelateria, party_store, bike_shop, barber_shop : 53628
Saved path: toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, gelateria, music_store, jewelry_store, bike_shop, bakery, barber_shop, salon : 56977
Saved path: party_store, barber_shop, toy_store, clothing_store, burger_joint, bookstore, dentist, pizzeria, craft_shop, gym, pet_store, florist, gelateria, bank, pharmacy : 69065
Saved path: music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house, toy_store, burger_joint, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank : 66844
Saved path: hardware_store, salon, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, florist, gelateria, bank, music_store, pharmacy, bike_shop, party_store : 61013
Saved path: bookstore, hardware_store, gym, pet_store, florist, music_store, pharmacy, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria : 56259
Saved path: pizzeria, cafe, bookstore, burger_joint, gym, pet_store, florist, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop : 61483
Saved path: bakery, hardware_store, gym, pet_store, bank, florist, pizzeria, dentist, bookstore, burger_joint, noodle_house, salon, barber_shop, bike_shop, jewelry_store : 72433
Saved path: tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, jewelry_store, bike_shop, bakery, gym, burger_joint, noodle_house, clothing_store : 57087
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 63325
Saved path: barber_shop, noodle_house, tech_shop, pizzeria, bookstore, hardware_store, gym, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop : 71940
Saved path: hardware_store, gym, pet_store, bank, gelateria, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint : 70460
Saved path: tech_shop, cafe, bookstore, dentist, pet_store, bank, gelateria, bakery, party_store, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store : 59981
Saved path: bank, florist, pizzeria, dentist, tech_shop, bookstore, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bakery : 70804
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, bike_shop, bakery, music_store, pet_store, craft_shop, pizzeria, dentist, bookstore : 60590
Saved path: gym, florist, gelateria, bank, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, bike_shop, bakery : 58998
Saved path: cafe, bookstore, burger_joint, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, tech_shop : 57754
Saved path: barber_shop, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, florist, bank, pharmacy, bakery, party_store, jewelry_store : 72305
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria, bookstore, burger_joint, hardware_store, toy_store : 57041
Saved path: salon, clothing_store, grocery_store, tech_shop, cafe, burger_joint, craft_shop, music_store, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store : 61246
Saved path: pizzeria, cafe, burger_joint, bookstore, clothing_store, toy_store, gym, hardware_store, party_store, bakery, pharmacy, music_store, bank, florist, pet_store : 62772
Saved path: toy_store, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, tech_shop, cafe, hardware_store : 64173
Saved path: jewelry_store, barber_shop, noodle_house, grocery_store, dentist, cafe, bookstore, burger_joint, hardware_store, pet_store, florist, music_store, gelateria, pharmacy, bakery : 61101
