Saved path: bookstore, cafe, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, salon, grocery_store : 66817
Saved path: pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store, salon, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store : 65141
Saved path: bike_shop, jewelry_store, bakery, gelateria, bank, florist, pet_store, dentist, bookstore, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store : 68521
Saved path: gelateria, music_store, florist, pet_store, craft_shop, dentist, bookstore, clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, jewelry_store, bike_shop : 61615
Saved path: music_store, gelateria, bakery, bike_shop, jewelry_store, salon, noodle_house, clothing_store, toy_store, burger_joint, cafe, pizzeria, craft_shop, pet_store, florist : 59998
Saved path: hardware_store, party_store, jewelry_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist, cafe, tech_shop, grocery_store, toy_store, salon : 61197
Saved path: bike_shop, jewelry_store, bakery, bank, music_store, florist, dentist, cafe, bookstore, burger_joint, gym, hardware_store, toy_store, salon, barber_shop : 67752
Saved path: pet_store, florist, gelateria, pharmacy, party_store, bike_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, gym, craft_shop : 47138
Saved path: barber_shop, toy_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, gelateria, bank, music_store, bakery, bike_shop : 62156
Saved path: florist, gelateria, bank, music_store, pharmacy, jewelry_store, hardware_store, toy_store, salon, noodle_house, clothing_store, cafe, burger_joint, bookstore, craft_shop : 58278
Saved path: tech_shop, cafe, bookstore, dentist, pizzeria, bank, pharmacy, jewelry_store, party_store, bakery, gym, toy_store, salon, noodle_house, grocery_store : 68496
Saved path: bank, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy : 61885
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, clothing_store, dentist, bookstore, burger_joint, gym, florist, gelateria : 66195
Saved path: noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, music_store, bank, gelateria, florist, craft_shop, dentist, cafe, hardware_store, toy_store : 64853
Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist, pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store : 65081
Saved path: pet_store, craft_shop, gym, tech_shop, grocery_store, clothing_store, salon, hardware_store, party_store, bike_shop, bakery, pharmacy, bank, gelateria, florist : 60727
Saved path: salon, toy_store, gym, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house : 57439
Saved path: grocery_store, cafe, pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, bike_shop, hardware_store, burger_joint, toy_store, salon, noodle_house : 54114
Saved path: dentist, grocery_store, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, craft_shop : 64781
