Saved path: party_store, bike_shop, bakery, pharmacy, gelateria, bank, music_store, florist, pizzeria, dentist, tech_shop, bookstore, burger_joint, gym, hardware_store : 58674
Saved path: cafe, bookstore, burger_joint, gym, craft_shop, florist, gelateria, music_store, pharmacy, bike_shop, salon, clothing_store, grocery_store, tech_shop, dentist : 50037
Saved path: florist, craft_shop, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, music_store : 56546
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, bike_shop, bakery, pharmacy, music_store, florist, pet_store, gym : 43624
Saved path: bookstore, burger_joint, hardware_store, party_store, bike_shop, bakery, music_store, bank, florist, pet_store, craft_shop, pizzeria, grocery_store, clothing_store, toy_store : 62158
Saved path: craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, pharmacy, gelateria, bank, pet_store : 67029
Saved path: pizzeria, dentist, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, music_store, bank, gelateria, pet_store, gym : 72315
Saved path: dentist, pizzeria, craft_shop, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, burger_joint, bookstore : 54708
Saved path: gelateria, music_store, pharmacy, bakery, party_store, hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore, dentist, pizzeria, pet_store, florist : 58271
Saved path: grocery_store, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, noodle_house : 69082
Saved path: toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, hardware_store, burger_joint, cafe : 63561
Saved path: party_store, jewelry_store, bike_shop, gelateria, bank, pet_store, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, barber_shop, bakery : 66031
Saved path: party_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, tech_shop, cafe, noodle_house, toy_store, gym, hardware_store : 58685
Saved path: barber_shop, salon, toy_store, hardware_store, gym, cafe, dentist, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, party_store : 65895
Saved path: craft_shop, dentist, tech_shop, grocery_store, clothing_store, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, pet_store : 68662
Saved path: tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, toy_store, salon, bike_shop, bakery, gelateria, music_store, florist, craft_shop, pizzeria : 49354
Saved path: craft_shop, pizzeria, tech_shop, cafe, burger_joint, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store : 64378
Saved path: tech_shop, cafe, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist, gelateria, jewelry_store, bakery, barber_shop, toy_store, noodle_house, clothing_store : 56398
Saved path: florist, music_store, bank, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, burger_joint, dentist, craft_shop, pet_store : 68091
Saved path: hardware_store, party_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, pet_store, bank, florist : 67211
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, pet_store, craft_shop, dentist, burger_joint, bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store : 54951
Saved path: jewelry_store, bike_shop, gym, burger_joint, toy_store, salon, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy : 70750
Saved path: bookstore, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank, music_store, florist, pet_store, gym : 63395
Saved path: tech_shop, clothing_store, noodle_house, bookstore, gym, party_store, jewelry_store, bike_shop, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe : 61212
Saved path: pet_store, florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, toy_store, burger_joint, cafe, clothing_store, tech_shop, pizzeria, craft_shop : 59779
Saved path: craft_shop, pet_store, bank, music_store, florist, gym, hardware_store, party_store, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, burger_joint, dentist : 68852
Saved path: salon, barber_shop, bakery, party_store, music_store, bank, gelateria, pet_store, pizzeria, dentist, tech_shop, burger_joint, hardware_store, toy_store, noodle_house : 67697
Saved path: pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, grocery_store : 66022
Saved path: pet_store, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, gym : 57816
Saved path: pizzeria, dentist, burger_joint, bookstore, clothing_store, noodle_house, salon, toy_store, gym, party_store, jewelry_store, gelateria, bank, pet_store, craft_shop : 69948
Saved path: pharmacy, bakery, party_store, bike_shop, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, pet_store, florist, music_store, bank : 60266
Saved path: craft_shop, gym, bookstore, cafe, clothing_store, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store : 61380
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, bakery, jewelry_store, bike_shop, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store : 63534
Saved path: cafe, dentist, pizzeria, pet_store, bank, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, grocery_store, bookstore, burger_joint : 67227
Saved path: bakery, gelateria, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store : 57412
Saved path: salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, hardware_store, gym, pet_store, bank, bike_shop, barber_shop : 64446
Saved path: pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, gym, toy_store, clothing_store, bookstore, burger_joint, cafe, dentist, pizzeria : 58263
Saved path: florist, pet_store, gym, craft_shop, pizzeria, dentist, cafe, grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, pharmacy, gelateria, bank : 69860
Saved path: cafe, dentist, grocery_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, gelateria, music_store, gym, burger_joint, bookstore : 59637
Saved path: clothing_store, grocery_store, cafe, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store : 51050
Saved path: cafe, grocery_store, salon, toy_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, dentist : 61419
Saved path: music_store, bank, florist, gym, burger_joint, cafe, dentist, pizzeria, clothing_store, toy_store, barber_shop, bakery, party_store, jewelry_store, bike_shop : 69622
Saved path: clothing_store, salon, barber_shop, jewelry_store, pharmacy, bank, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, burger_joint, cafe, grocery_store : 66751
Saved path: gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, salon, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, craft_shop : 57201
Saved path: pet_store, florist, gelateria, music_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop : 59922
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, music_store : 60871
Saved path: party_store, jewelry_store, bike_shop, barber_shop, music_store, bank, gelateria, florist, craft_shop, dentist, clothing_store, cafe, bookstore, hardware_store, bakery : 66280
Saved path: jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, bike_shop : 61350
Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, dentist, cafe, clothing_store, toy_store, burger_joint, hardware_store : 59756
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, gym, hardware_store, toy_store, tech_shop, noodle_house, barber_shop : 64899
Saved path: bank, gelateria, florist, gym, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, pharmacy : 63387
Saved path: barber_shop, salon, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, bank, florist, gym, hardware_store, bakery, jewelry_store : 69382
Saved path: bank, pet_store, craft_shop, pizzeria, grocery_store, cafe, bookstore, burger_joint, toy_store, salon, hardware_store, bike_shop, jewelry_store, bakery, gelateria : 66353
Saved path: craft_shop, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist : 56463
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, party_store, barber_shop : 59979
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, gelateria, pharmacy, hardware_store, party_store, jewelry_store, bike_shop : 59870
