Saved path: toy_store, hardware_store, jewelry_store, party_store, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, salon : 65044
Saved path: pet_store, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, noodle_house, toy_store, gym, burger_joint, bookstore, dentist, pizzeria, craft_shop : 69997
Saved path: jewelry_store, bike_shop, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, hardware_store, barber_shop : 67060
Saved path: bank, gelateria, bakery, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, florist, music_store : 55767
Saved path: noodle_house, barber_shop, bike_shop, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, burger_joint, toy_store : 58420
Saved path: bank, pet_store, craft_shop, gym, hardware_store, bike_shop, party_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, florist : 65207
Saved path: dentist, cafe, burger_joint, hardware_store, gym, pet_store, florist, music_store, gelateria, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store : 53533
Saved path: cafe, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, hardware_store, burger_joint : 65998
Saved path: clothing_store, dentist, florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, tech_shop, grocery_store : 55470
Saved path: burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store, salon, toy_store, gym : 59468
Saved path: dentist, pizzeria, florist, music_store, bank, gelateria, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, cafe, tech_shop : 69820
Saved path: grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, hardware_store, gym, craft_shop, dentist, burger_joint, bookstore, tech_shop : 52593
Saved path: salon, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, gym, bookstore, pizzeria, tech_shop, clothing_store, toy_store : 71829
Saved path: salon, toy_store, burger_joint, gym, party_store, bike_shop, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, grocery_store : 65083
Saved path: tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, florist, bank, gelateria, jewelry_store, bakery, toy_store, noodle_house, clothing_store, grocery_store : 61079
Saved path: craft_shop, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, party_store, pharmacy, gelateria, florist : 52412
Saved path: noodle_house, clothing_store, cafe, bookstore, burger_joint, gym, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop : 61191
Saved path: bike_shop, bakery, bank, music_store, florist, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 56918
Saved path: cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, party_store, pharmacy, bank, gelateria, florist, gym, burger_joint, bookstore : 57050
Saved path: toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, florist, pet_store, pizzeria, cafe, burger_joint, hardware_store, gym : 69150
Saved path: party_store, bike_shop, gym, burger_joint, noodle_house, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, music_store, pharmacy, bakery : 58791
Saved path: hardware_store, barber_shop, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, jewelry_store, party_store : 65101
Saved path: salon, toy_store, burger_joint, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bakery, jewelry_store : 58501
Saved path: bakery, party_store, jewelry_store, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, clothing_store, grocery_store, cafe, bookstore, burger_joint : 61189
Saved path: barber_shop, toy_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bike_shop : 53427
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, pet_store, gym, dentist, cafe : 58122
Saved path: pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, bookstore, cafe : 60368
Saved path: hardware_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, burger_joint, gym : 60535
Saved path: music_store, pharmacy, jewelry_store, bike_shop, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store : 58373
Saved path: bookstore, noodle_house, barber_shop, bakery, party_store, jewelry_store, bike_shop, hardware_store, gym, gelateria, music_store, florist, craft_shop, pizzeria, tech_shop : 62816
Saved path: florist, pet_store, craft_shop, hardware_store, cafe, tech_shop, grocery_store, toy_store, salon, barber_shop, bakery, party_store, pharmacy, gelateria, bank : 62007
Saved path: pizzeria, tech_shop, bookstore, gym, hardware_store, toy_store, noodle_house, salon, barber_shop, party_store, pharmacy, music_store, bank, florist, craft_shop : 66611
Saved path: grocery_store, clothing_store, barber_shop, jewelry_store, party_store, pharmacy, music_store, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria : 64801
