Saved path: bookstore, cafe, dentist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store : 66547
Saved path: cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, music_store, gelateria, craft_shop, pizzeria, tech_shop : 58155
Saved path: bike_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, clothing_store, noodle_house, toy_store, hardware_store : 51002
Saved path: music_store, gelateria, bakery, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, gym : 56210
Saved path: gelateria, florist, pet_store, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, hardware_store, toy_store, barber_shop, bakery, pharmacy, bank : 57653
Saved path: clothing_store, tech_shop, pizzeria, pet_store, florist, music_store, bank, gelateria, pharmacy, barber_shop, jewelry_store, party_store, hardware_store, bookstore, noodle_house : 71686
Saved path: burger_joint, gym, hardware_store, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, craft_shop, pizzeria, grocery_store, clothing_store, salon, toy_store : 56010
Saved path: noodle_house, clothing_store, tech_shop, bookstore, hardware_store, craft_shop, florist, bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 64610
Saved path: gelateria, bank, florist, gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, party_store, bike_shop : 64478
Saved path: pet_store, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, gelateria, music_store, florist : 63426
Saved path: pizzeria, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pharmacy, gelateria, music_store, florist : 52622
Saved path: gym, craft_shop, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house : 56242
Saved path: toy_store, salon, noodle_house, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bike_shop, burger_joint : 59636
Saved path: salon, barber_shop, party_store, bike_shop, music_store, pet_store, craft_shop, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 60875
Saved path: grocery_store, cafe, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, bakery, bank, florist, craft_shop, pizzeria, dentist, tech_shop : 58511
Saved path: bookstore, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist : 52920
Saved path: jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store, florist, bank, music_store : 67229
Saved path: gelateria, pet_store, gym, hardware_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, florist, music_store : 58246
Saved path: music_store, florist, craft_shop, pizzeria, dentist, burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, party_store, gelateria, bank : 58306
Saved path: burger_joint, bookstore, dentist, pizzeria, tech_shop, clothing_store, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, music_store, bank, florist, gym : 68698
Saved path: burger_joint, gym, pet_store, bank, gelateria, pharmacy, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe : 66601
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, jewelry_store, bakery, gym, burger_joint, toy_store, noodle_house, clothing_store, cafe : 55901
Saved path: noodle_house, toy_store, gym, burger_joint, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon : 68207
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, gym, florist, pet_store, craft_shop, dentist, cafe, burger_joint, bookstore : 58036
Saved path: clothing_store, grocery_store, cafe, pizzeria, gym, pet_store, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, noodle_house : 66727
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, bakery, bank, gelateria, florist, gym, bookstore, cafe, pizzeria, tech_shop, grocery_store : 69117
Saved path: jewelry_store, bike_shop, pharmacy, music_store, gelateria, pet_store, pizzeria, dentist, bookstore, burger_joint, cafe, tech_shop, grocery_store, noodle_house, barber_shop : 61698
Saved path: bike_shop, jewelry_store, barber_shop, salon, toy_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gym, music_store, gelateria, pharmacy : 62561
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, gelateria, music_store, gym, hardware_store, burger_joint, cafe, pizzeria, tech_shop, clothing_store, noodle_house : 63184
Saved path: noodle_house, clothing_store, toy_store, hardware_store, bookstore, cafe, dentist, pizzeria, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon : 59922
Saved path: noodle_house, clothing_store, cafe, burger_joint, bookstore, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, jewelry_store, bike_shop, hardware_store, toy_store : 52384
Saved path: gelateria, pet_store, gym, burger_joint, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store : 60937
Saved path: barber_shop, bakery, party_store, bike_shop, music_store, gelateria, pet_store, gym, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store : 57098
Saved path: pet_store, craft_shop, gym, hardware_store, toy_store, tech_shop, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, florist : 64839
Saved path: dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, pet_store : 66512
Saved path: bank, music_store, pharmacy, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, florist : 61026
Saved path: burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bike_shop, pharmacy, music_store, gelateria, florist, craft_shop, gym : 51350
Saved path: bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, hardware_store, gym, burger_joint, salon, noodle_house, clothing_store, dentist, pizzeria : 68747
Saved path: grocery_store, clothing_store, salon, toy_store, burger_joint, gym, party_store, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist, cafe : 56483
Saved path: dentist, pizzeria, bank, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, noodle_house, clothing_store, tech_shop : 66139
Saved path: jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, music_store, pharmacy : 60043
Saved path: salon, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, bank, pharmacy, bakery, party_store, hardware_store, barber_shop : 64221
Saved path: toy_store, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, bank, music_store, barber_shop : 59468
Saved path: noodle_house, salon, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, gym, pizzeria, dentist, cafe, tech_shop, grocery_store : 61109
Saved path: bookstore, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, gelateria, pet_store, gym, burger_joint : 58308
Saved path: barber_shop, bakery, bike_shop, party_store, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, music_store : 58434
Saved path: toy_store, salon, hardware_store, jewelry_store, bike_shop, music_store, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, tech_shop, clothing_store : 69395
Saved path: pharmacy, bakery, bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, bank : 61561
Saved path: toy_store, salon, barber_shop, bike_shop, bakery, music_store, gelateria, pet_store, gym, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store : 48635
Saved path: barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, gym, music_store, gelateria, bike_shop, party_store, bakery : 57840
Saved path: bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, bookstore, dentist, craft_shop, music_store, gelateria, pharmacy : 53984
Saved path: toy_store, salon, barber_shop, bakery, music_store, bank, gelateria, florist, pet_store, dentist, cafe, burger_joint, grocery_store, clothing_store, noodle_house : 56026
