Saved path: craft_shop, pet_store, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, dentist : 61052
Saved path: noodle_house, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, bank, bakery, bike_shop, party_store, jewelry_store, salon : 61529
Saved path: dentist, pizzeria, florist, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, grocery_store, tech_shop, burger_joint, cafe : 57534
Saved path: cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, pet_store, gym, craft_shop, dentist : 60460
Saved path: bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, bookstore, cafe, dentist, craft_shop, gelateria, music_store, pharmacy : 55835
Saved path: bakery, bike_shop, barber_shop, salon, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, tech_shop, dentist, craft_shop, gelateria, bank, pharmacy : 59703
Saved path: clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, jewelry_store, gelateria, music_store, gym, craft_shop, pizzeria, dentist, bookstore, grocery_store : 63311
Saved path: bakery, party_store, pharmacy, gelateria, music_store, florist, pet_store, craft_shop, dentist, bookstore, cafe, tech_shop, clothing_store, toy_store, barber_shop : 55337
Saved path: pizzeria, craft_shop, gym, pet_store, gelateria, bank, music_store, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, dentist : 69659
Saved path: bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist, clothing_store, tech_shop, cafe, gym, hardware_store, party_store, jewelry_store : 58778
Saved path: bike_shop, jewelry_store, salon, noodle_house, toy_store, burger_joint, cafe, dentist, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bakery : 56846
Saved path: gelateria, bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, gym, dentist, craft_shop, florist, music_store, bank : 66891
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon : 54594
Saved path: craft_shop, burger_joint, cafe, tech_shop, noodle_house, salon, hardware_store, bakery, bike_shop, jewelry_store, gelateria, bank, music_store, florist, pet_store : 63988
Saved path: florist, gelateria, bank, music_store, party_store, bakery, barber_shop, salon, hardware_store, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, pizzeria : 62853
Saved path: cafe, gym, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store : 63341
Saved path: barber_shop, bakery, party_store, jewelry_store, bike_shop, music_store, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, clothing_store, noodle_house, toy_store : 60103
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, gym, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store : 68725
Saved path: toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, gelateria, bank, bakery, jewelry_store, bike_shop, gym : 66120
Saved path: bookstore, dentist, craft_shop, pet_store, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, toy_store, hardware_store, gym : 70107
Saved path: craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, barber_shop, hardware_store, burger_joint, noodle_house, clothing_store, tech_shop, dentist, pizzeria : 58967
Saved path: craft_shop, pizzeria, cafe, bookstore, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, hardware_store, florist, pet_store : 60506
Saved path: dentist, pizzeria, grocery_store, clothing_store, toy_store, salon, barber_shop, pharmacy, gelateria, bank, pet_store, gym, burger_joint, bookstore, cafe : 58243
Saved path: bank, gelateria, craft_shop, pizzeria, dentist, bookstore, burger_joint, clothing_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, party_store : 70275
Saved path: bookstore, dentist, tech_shop, grocery_store, noodle_house, barber_shop, jewelry_store, bike_shop, pharmacy, bank, florist, pet_store, craft_shop, gym, hardware_store : 71745
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, bookstore, cafe, burger_joint, hardware_store, gym, florist, music_store : 51018
Saved path: gym, craft_shop, florist, pharmacy, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint : 44870
Saved path: jewelry_store, bike_shop, bakery, music_store, bank, gelateria, pet_store, craft_shop, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop : 64677
Saved path: barber_shop, pharmacy, music_store, gelateria, pet_store, craft_shop, dentist, tech_shop, clothing_store, noodle_house, bookstore, burger_joint, hardware_store, party_store, bike_shop : 59688
Saved path: noodle_house, toy_store, hardware_store, burger_joint, bookstore, tech_shop, dentist, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 63745
Saved path: bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, craft_shop : 69461
Saved path: bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, dentist, pizzeria, florist, music_store, gelateria, pet_store, gym : 64320
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, bookstore, cafe, tech_shop, grocery_store, toy_store, hardware_store, barber_shop, jewelry_store, bike_shop, bakery : 55075
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, gym, pet_store, florist, craft_shop, pizzeria, dentist, bookstore : 60828
Saved path: bank, pet_store, gym, bike_shop, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, cafe, dentist, craft_shop, florist, music_store : 69973
Saved path: burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, bike_shop, music_store, bank, gelateria, pet_store, gym : 61086
Saved path: craft_shop, dentist, burger_joint, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, music_store, pet_store : 58355
Saved path: pharmacy, bakery, bike_shop, gym, toy_store, salon, noodle_house, clothing_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, florist, music_store : 50411
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, bookstore, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, barber_shop : 71594
Saved path: jewelry_store, pharmacy, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, toy_store, gym, bike_shop : 64311
Saved path: bank, gelateria, florist, craft_shop, gym, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, party_store, bakery : 60285
Saved path: dentist, cafe, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, hardware_store, gym, music_store, bank, gelateria, pet_store, pizzeria : 61107
Saved path: pet_store, florist, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, clothing_store, grocery_store, cafe, burger_joint, dentist, pizzeria, craft_shop : 57233
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, florist, hardware_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop : 63317
Saved path: bakery, pharmacy, music_store, gelateria, florist, craft_shop, dentist, bookstore, burger_joint, noodle_house, salon, hardware_store, gym, party_store, jewelry_store : 57364
Saved path: dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, gelateria, gym, bookstore, cafe : 57058
Saved path: hardware_store, gym, craft_shop, pet_store, pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint : 51285
Saved path: burger_joint, hardware_store, craft_shop, pet_store, gelateria, music_store, bike_shop, jewelry_store, bakery, barber_shop, toy_store, grocery_store, tech_shop, cafe, bookstore : 58377
Saved path: gym, bakery, party_store, hardware_store, salon, toy_store, burger_joint, bookstore, tech_shop, dentist, craft_shop, florist, music_store, gelateria, pet_store : 58826
Saved path: gelateria, music_store, florist, pet_store, craft_shop, dentist, cafe, burger_joint, grocery_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, pharmacy : 58990
Saved path: barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, gelateria, bike_shop, jewelry_store : 60872
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, bike_shop, hardware_store, toy_store : 42743
Saved path: bakery, pharmacy, bank, music_store, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store, barber_shop, bike_shop, party_store : 66661
